rho             ne              v_phi           Te              E_rho           Psi              
0.00000000E+00  1.64806338E-01   0.00000000E+00  1.00000000E-06  0.00000000E+00  4.99600888E-07
3.52124664E-04  2.30267156E-01  -9.63318555E-06  1.18234607E-06  7.26048232E-05  4.86368933E-07
3.54309302E-04  2.31014305E-01  -9.76384452E-06  1.18367899E-06  7.29940361E-05  4.86209892E-07
3.56496127E-04  2.31765289E-01  -9.89515787E-06  1.18500664E-06  7.33825942E-05  4.86049842E-07
3.58685297E-04  2.32520147E-01  -1.00271263E-05  1.18632902E-06  7.37705184E-05  4.85888770E-07
3.60876798E-04  2.33278860E-01  -1.01597400E-05  1.18764604E-06  7.41577992E-05  4.85726677E-07
3.63070918E-04  2.34041515E-01  -1.02930079E-05  1.18895778E-06  7.45444802E-05  4.85563542E-07
3.65267505E-04  2.34808044E-01  -1.04269120E-05  1.19026405E-06  7.49305271E-05  4.85399374E-07
3.67466382E-04  2.35578373E-01  -1.05614325E-05  1.19156465E-06  7.53159016E-05  4.85234187E-07
3.69667921E-04  2.36352617E-01  -1.06965835E-05  1.19285973E-06  7.57006619E-05  4.85067953E-07
3.71871807E-04  2.37130650E-01  -1.08323367E-05  1.19414902E-06  7.60847453E-05  4.84900694E-07
3.74078218E-04  2.37912522E-01  -1.09686942E-05  1.19543252E-06  7.64681759E-05  4.84732396E-07
3.76286910E-04  2.38698131E-01  -1.11056319E-05  1.19671003E-06  7.68509041E-05  4.84563079E-07
3.78498540E-04  2.39487696E-01  -1.12431817E-05  1.19798184E-06  7.72330362E-05  4.84392690E-07
3.80712321E-04  2.40280920E-01  -1.13812856E-05  1.19924741E-06  7.76144288E-05  4.84221291E-07
3.82928895E-04  2.41078020E-01  -1.15199748E-05  1.20050703E-06  7.79951856E-05  4.84048830E-07
3.85147808E-04  2.41878817E-01  -1.16592119E-05  1.20176038E-06  7.83752212E-05  4.83875344E-07
3.87369278E-04  2.42683374E-01  -1.17990015E-05  1.20300751E-06  7.87545658E-05  4.83700814E-07
3.89593424E-04  2.43491718E-01  -1.19393421E-05  1.20424840E-06  7.91332321E-05  4.83525231E-07
3.91820355E-04  2.44303876E-01  -1.20802317E-05  1.20548304E-06  7.95112316E-05  4.83348586E-07
3.94049885E-04  2.45119762E-01  -1.22216494E-05  1.20671126E-06  7.98885248E-05  4.83170892E-07
3.96282260E-04  2.45939453E-01  -1.23636020E-05  1.20793313E-06  8.02651461E-05  4.82992131E-07
3.98517119E-04  2.46762801E-01  -1.25060575E-05  1.20914838E-06  8.06410273E-05  4.82812329E-07
4.00754781E-04  2.47589906E-01  -1.26490272E-05  1.21035712E-06  8.10162144E-05  4.82631462E-07
4.02995220E-04  2.48420744E-01  -1.27925004E-05  1.21155926E-06  8.13906957E-05  4.82449530E-07
4.05238314E-04  2.49255254E-01  -1.29364603E-05  1.21275469E-06  8.17644434E-05  4.82266544E-07
4.07484188E-04  2.50093466E-01  -1.30809060E-05  1.21394340E-06  8.21374710E-05  4.82082492E-07
4.09732678E-04  2.50935303E-01  -1.32258178E-05  1.21512525E-06  8.25097436E-05  4.81897388E-07
4.11984128E-04  2.51780876E-01  -1.33712089E-05  1.21630037E-06  8.28813110E-05  4.81711203E-07
4.14238311E-04  2.52630086E-01  -1.35170557E-05  1.21746856E-06  8.32521279E-05  4.81523955E-07
4.16495027E-04  2.53482839E-01  -1.36633361E-05  1.21862968E-06  8.36221544E-05  4.81335661E-07
4.18754841E-04  2.54339332E-01  -1.38100779E-05  1.21978396E-06  8.39914755E-05  4.81146273E-07
4.21017272E-04  2.55199367E-01  -1.39572408E-05  1.22093111E-06  8.43600053E-05  4.80955831E-07
4.23282845E-04  2.56063126E-01  -1.41048500E-05  1.22207133E-06  8.47278215E-05  4.80764290E-07
4.25551025E-04  2.56930389E-01  -1.42528616E-05  1.22320430E-06  8.50948298E-05  4.80571696E-07
4.27822586E-04  2.57801435E-01  -1.44013174E-05  1.22433036E-06  8.54611480E-05  4.80377982E-07
4.30097070E-04  2.58676072E-01  -1.45501785E-05  1.22544924E-06  8.58266940E-05  4.80183186E-07
4.32374400E-04  2.59554254E-01  -1.46994308E-05  1.22656084E-06  8.61914480E-05  4.79987314E-07
4.34654746E-04  2.60436027E-01  -1.48490767E-05  1.22766520E-06  8.65554297E-05  4.79790353E-07
4.36938231E-04  2.61321424E-01  -1.49991153E-05  1.22876234E-06  8.69186510E-05  4.79592290E-07
4.39224724E-04  2.62210376E-01  -1.51495291E-05  1.22985215E-06  8.72810832E-05  4.79393136E-07
4.41514012E-04  2.63102782E-01  -1.53002954E-05  1.23093448E-06  8.76426854E-05  4.79192911E-07
