,rho,ne,v_phi,Te,E_rho
198,0.00099,0.65851918,-0.00038421881,1.1816634e-06,0.0002612339999999847
199,0.000995,0.66122207,-0.00038506336,1.1803517e-06,0.0002616200000000085
200,0.001,0.66391503,-0.00038588755,1.1790377e-06,0.00026199800000000325
201,0.001005,0.66659794,-0.00038669155,1.1777217e-06,0.0002623660000000041
202,0.00101,0.66927073,-0.00038747551,1.1764039e-06,0.0002627259999999971
203,0.001015,0.6719333,-0.00038823962,1.1750845e-06,0.00026307800000000345
204,0.00102,0.67458558,-0.00038898404,1.1737638e-06,0.0002634199999999947
205,0.001025,0.67722747,-0.00038970895,1.172442e-06,0.0002637559999999853
206,0.00103,0.6798589,-0.00039041452,1.1711192e-06,0.0002640800000000171
207,0.001035,0.68247978,-0.00039110091,1.1697957e-06,0.00026439799999999626
208,0.00104,0.68509006,-0.00039176829,1.1684717e-06,0.00026470600000000094
209,0.001045,0.68768964,-0.00039241685,1.1671474e-06,0.0002650060000000092
210,0.00105,0.69027845,-0.00039304674,1.165823e-06,0.0002652999999999957
211,0.001055,0.69285644,-0.00039365814,1.1644986e-06,0.00026558200000000227
212,0.00106,0.69542353,-0.00039425121,1.1631744e-06,0.000265857999999987
213,0.001065,0.69797966,-0.00039482614,1.1618507e-06,0.0002661260000000062
214,0.00107,0.70052477,-0.00039538308,1.1605275e-06,0.0002663859999999965
215,0.001075,0.70305879,-0.00039592221,1.1592051e-06,0.0002666359999999928
216,0.00108,0.70558167,-0.00039644369,1.1578836e-06,0.0002668800000000097
217,0.001085,0.70809335,-0.00039694769,1.1565632e-06,0.0002671159999999976
218,0.00109,0.71059378,-0.00039743438,1.155244e-06,0.00026734199999999155
219,0.001095,0.71308291,-0.00039790393,1.1539262e-06,0.00026756200000000607
220,0.0011,0.71556069,-0.00039835651,1.15261e-06,0.0002677720000000055
221,0.001105,0.71802707,-0.00039879227,1.1512954e-06,0.00026797799999999045
222,0.00111,0.720482,-0.00039921138,1.1499826e-06,0.0002681719999999954
223,0.001115,0.72292545,-0.00039961402,1.1486718e-06,0.00026836200000000696
224,0.00112,0.72535736,-0.00040000034,1.1473631e-06,0.0002685440000000012
225,0.001125,0.72777771,-0.0004003705,1.1460565e-06,0.00026871599999999936
226,0.00113,0.73018645,-0.00040072467,1.1447524e-06,0.00026888000000000134
227,0.001135,0.73258355,-0.00040106302,1.1434507e-06,0.00026904000000001004
228,0.00114,0.73496897,-0.00040138569,1.1421515e-06,0.00026919199999998967
229,0.001145,0.73734268,-0.00040169286,1.1408551e-06,0.0002693339999999965
230,0.00115,0.73970465,-0.00040198467,1.1395615e-06,0.0002694700000000028
231,0.001155,0.74205486,-0.0004022613,1.1382708e-06,0.00026960000000000856
232,0.00116,0.74439327,-0.00040252289,1.1369831e-06,0.0002697199999999991
233,0.001165,0.74671987,-0.00040276961,1.1356985e-06,0.0002698359999999964
234,0.00117,0.74903462,-0.00040300161,1.1344172e-06,0.00026994199999999974
235,0.001175,0.7513375,-0.00040321904,1.1331392e-06,0.0002700439999999886
236,0.00118,0.7536285,-0.00040342206,1.1318646e-06,0.0002701360000000047
237,0.001185,0.7559076,-0.00040361083,1.1305935e-06,0.000270221999999999
238,0.00119,0.75817478,-0.00040378548,1.1293261e-06,0.0002703020000000139
239,0.001195,0.76043002,-0.00040394619,1.1280623e-06,0.0002703759999999859
240,0.0012,0.76267332,-0.00040409309,1.1268023e-06,0.00027044000000001804
241,0.001205,0.76490465,-0.00040422633,1.1255461e-06,0.000270499999999991
242,0.00121,0.76712401,-0.00040434607,1.1242938e-06,0.00027055200000001027
243,0.001215,0.76933139,-0.00040445245,1.1230456e-06,0.00027059799999998654
244,0.00122,0.77152678,-0.00040454562,1.1218014e-06,0.00027063599999999733
245,0.001225,0.77371018,-0.00040462572,1.1205614e-06,0.00027066800000000754
246,0.00123,0.77588157,-0.0004046929,1.1193255e-06,0.0002706960000000032
247,0.001235,0.77804096,-0.0004047473,1.118094e-06,0.00027071400000000496
248,0.00124,0.78018835,-0.00040478906,1.1168668e-06,0.0002707279999999922
249,0.001245,0.78232373,-0.00040481833,1.115644e-06,0.0002707339999999928
250,0.00125,0.7844471,-0.00040483524,1.1144257e-06,0.0002707360000000001
251,0.001255,0.78655846,-0.00040483993,1.1132119e-06,0.0002707279999999922
252,0.00126,0.78865783,-0.00040483254,1.1120026e-06,0.0002707180000000195
253,0.001265,0.79074519,-0.00040481322,1.110798e-06,0.00027069999999999655
254,0.00127,0.79282056,-0.00040478209,1.1095981e-06,0.0002706739999999869
255,0.001275,0.79488395,-0.00040473928,1.1084029e-06,0.00027064400000000516
256,0.00128,0.79693536,-0.00040468495,1.1072125e-06,0.0002706080000000016
257,0.001285,0.79897479,-0.0004046192,1.1060269e-06,0.00027056600000000924
258,0.00129,0.80100227,-0.00040454219,1.1048462e-06,0.0002705179999999928
259,0.001295,0.8030178,-0.00040445403,1.1036704e-06,0.00027046400000000866
260,0.0013,0.80502139,-0.00040435486,1.1024995e-06,0.0002704040000000028
261,0.001305,0.80701306,-0.00040424481,1.1013337e-06,0.00027033799999999627
262,0.00131,0.80899281,-0.00040412401,1.1001728e-06,0.00027026799999999647
263,0.001315,0.81096068,-0.00040399257,1.0990171e-06,0.00027018999999998885
264,0.00132,0.81291666,-0.00040385063,1.0978664e-06,0.0002701060000000017
265,0.001325,0.81486079,-0.00040369831,1.0967208e-06,0.0002700200000000074
266,0.00133,0.81679307,-0.00040353574,1.0955804e-06,0.00026992600000000524
267,0.001335,0.81871353,-0.00040336303,1.0944452e-06,0.0002698259999999813
268,0.00134,0.82062219,-0.00040318031,1.0933153e-06,0.0002697220000000064
