radius	number_density	azimuthal_velocity	temperature	radial_electric_field
0.0055	1.0129338	-1.2599303e-05	9.9038322e-07	1.731577068322602e-05
0.005505	1.0128836	-1.2513968e-05	9.9043652e-07	1.723568114088974e-05
0.00551	1.0128335	-1.2429133e-05	9.9048961e-07	1.71559290466973e-05
0.005515	1.0127836	-1.2344795e-05	9.9054247e-07	1.7076512937054458e-05
0.00552	1.0127339	-1.2260952e-05	9.9059512e-07	1.6997431350952468e-05
0.005525	1.0126842	-1.2177602e-05	9.9064754e-07	1.6918683829956368e-05
0.00553	1.0126348	-1.2094742e-05	9.9069975e-07	1.6840268417289227e-05
0.005535	1.0125854	-1.201237e-05	9.9075174e-07	1.6762184659179586e-05
0.00554	1.0125363	-1.1930484e-05	9.9080351e-07	1.6684430603494168e-05
0.005545	1.0124872	-1.1849081e-05	9.9085507e-07	1.660700580108304e-05
0.00555	1.0124383	-1.1768159e-05	9.909064e-07	1.6529908804414818e-05
0.005555	1.0123896	-1.1687717e-05	9.9095752e-07	1.6453138168469524e-05
0.00556	1.012341	-1.1607751e-05	9.9100843e-07	1.637669295072721e-05
0.005565	1.0122925	-1.1528259e-05	9.9105912e-07	1.6300572210707538e-05
0.00557	1.0122442	-1.1449239e-05	9.9110959e-07	1.6224774509960614e-05
0.005575	1.012196	-1.137069e-05	9.9115985e-07	1.614929891250636e-05
0.00558	1.012148	-1.1292607e-05	9.9120989e-07	1.6074143984375342e-05
0.005585	1.0121001	-1.1214991e-05	9.9125972e-07	1.5999308794047438e-05
0.00559	1.0120524	-1.1137837e-05	9.9130933e-07	1.592479191199365e-05
0.005595	1.0120048	-1.1061145e-05	9.9135873e-07	1.5850592411114077e-05
0.0056	1.0119573	-1.0984911e-05	9.9140792e-07	1.5776709366280552e-05
0.005605	1.01191	-1.0909133e-05	9.914569e-07	1.5703141354327923e-05
0.00561	1.0118629	-1.083381e-05	9.9150566e-07	1.56298869544909e-05
0.005615	1.0118158	-1.075894e-05	9.9155421e-07	1.5556945748393426e-05
0.00562	1.011769	-1.0684519e-05	9.9160255e-07	1.5484315819148275e-05
0.005625	1.0117222	-1.0610545e-05	9.9165068e-07	1.541199675268384e-05
0.00563	1.0116756	-1.0537018e-05	9.916986e-07	1.533998713639947e-05
0.005635	1.0116292	-1.0463934e-05	9.9174631e-07	1.5268285560046224e-05
0.00564	1.0115829	-1.0391291e-05	9.917938e-07	1.51968911157165e-05
0.005645	1.0115367	-1.0319087e-05	9.9184109e-07	1.5125802897390746e-05
0.00565	1.0114907	-1.024732e-05	9.9188817e-07	1.5055019500929126e-05
0.005655	1.0114448	-1.0175988e-05	9.9193505e-07	1.4984540024505285e-05
0.00566	1.0113991	-1.0105089e-05	9.9198171e-07	1.4914363068154481e-05
0.005665	1.0113535	-1.003462e-05	9.9202817e-07	1.4844487734206611e-05
0.00567	1.011308	-9.9645794e-06	9.9207442e-07	1.4774913126835207e-05
0.005675	1.0112627	-9.8949654e-06	9.9212046e-07	1.470563785204931e-05
0.00568	1.0112175	-9.8257756e-06	9.921663e-07	1.4636661018125565e-05
0.005685	1.0111725	-9.7570079e-06	9.9221193e-07	1.456798123515843e-05
0.00569	1.0111276	-9.6886603e-06	9.9225735e-07	1.4499597615491606e-05
0.005695	1.0110829	-9.6207306e-06	9.9230257e-07	1.4431508773269155e-05
0.0057	1.0110382	-9.5532168e-06	9.9234759e-07	1.4363714324866244e-05
0.005705	1.0109938	-9.4861168e-06	9.923924e-07	1.4296212388002883e-05
0.00571	1.0109494	-9.4194286e-06	9.9243701e-07	1.4229002583051556e-05
0.005715	1.0109053	-9.35315e-06	9.9248142e-07	1.4162083031713286e-05
0.00572	1.0108612	-9.287279e-06	9.9252562e-07	1.4095453358322991e-05
0.005725	1.0108173	-9.2218136e-06	9.9256962e-07	1.4029112188527991e-05
0.00573	1.0107735	-9.1567518e-06	9.9261343e-07	1.3963058650154815e-05
0.005735	1.0107299	-9.0920915e-06	9.9265703e-07	1.389729137276382e-05
0.00574	1.0106864	-9.0278307e-06	9.9270042e-07	1.383180948807717e-05
0.005745	1.0106431	-8.9639674e-06	9.9274362e-07	1.3766611629534307e-05
0.00575	1.0105998	-8.9004995e-06	9.9278662e-07	1.3701697432719185e-05
0.005755	1.0105568	-8.8374251e-06	9.9282943e-07	1.363706503448221e-05
0.00576	1.0105138	-8.7747421e-06	9.9287203e-07	1.35727140742368e-05
0.005765	1.010471	-8.7124487e-06	9.9291443e-07	1.3508643192647351e-05
0.00577	1.0104284	-8.6505427e-06	9.9295664e-07	1.344485103249031e-05
0.005775	1.0103858	-8.5890223e-06	9.9299865e-07	1.3381337238645071e-05
0.00578	1.0103435	-8.5278854e-06	9.9304046e-07	1.3318099957219812e-05
0.005785	1.0103012	-8.4671301e-06	9.9308208e-07	1.3255138836842682e-05
0.00579	1.0102591	-8.4067544e-06	9.931235e-07	1.319245252735551e-05
0.005795	1.0102171	-8.3467564e-06	9.9316473e-07	1.3130040180671439e-05
0.0058	1.0101753	-8.2871342e-06	9.9320576e-07	1.3067900450334942e-05
0.005805	1.0101336	-8.2278857e-06	9.932466e-07	1.3006032491945456e-05
0.00581	1.010092	-8.1690092e-06	9.9328724e-07	1.2944435462718288e-05
0.005815	1.0100506	-8.1105026e-06	9.933277e-07	1.2883108021477595e-05
0.00582	1.0100093	-8.0523641e-06	9.9336796e-07	1.2822049329079087e-05
0.005825	1.0099681	-7.9945917e-06	9.9340802e-07	1.2761258547972083e-05
0.00583	1.0099271	-7.9371835e-06	9.934479e-07	1.2700734342192735e-05
0.005835	1.0098862	-7.8801377e-06	9.9348759e-07	1.2640475877785604e-05
0.00584	1.0098455	-7.8234524e-06	9.9352708e-07	1.2580481822367028e-05
0.005845	1.0098049	-7.7671256e-06	9.9356639e-07	1.2520751345546096e-05
0.00585	1.0097644	-7.7111555e-06	9.936055e-07	1.2461283618488819e-05
0.005855	1.009724	-7.6555403e-06	9.9364443e-07	1.2402077813911414e-05
